,test.question,test.answer,newseq2seq_generated_test.answer,oldseq2seq_generated_test.answer
683,你竟然也是机器人,为啥会这么觉得[对手指]耶,你见过这么可爱的机器人吗？,没关系，我只是个传说。
684,麻烦发布下,再发个被呢,紧急得很麻烦啊,你哪里要不要看呢
685,还是原来那个我,是我自己做梦你又改变什么#hebe,=。=,你好，她好，他心里只有默默咋起来啊
686,赶紧睡吧。要不我心疼,==,=。=,=。=
687,是自己难受,睡觉去，猪,最爱吃,==
688,怎么了,没啥，没事做是蛮无聊,没有怎么了啦,吃你妹啊
689,当然在这里抱,也在这里死去,我想你了,==
690,告诉我如何@你,是你这辈子最爱的人啊！,告诉你什么呀,=。=
691,"嗯,亲爱的",小笨蛋，我也爱你,hi，亲,晚安，亲爱的
692,"去死去死,小心我把你炖了",不要吗。人家给你鸡蛋吃。,不要吗。人家给你鸡蛋吃。,不要吗？不会吗
693,你吃过大盘鸡嘛,==,你吃过人么？,==
694,有相亲活动吗,同啊边个相亲那个呢,没听说就停下来了呢,对你好啊
695,想不到你智商还是这么低,被你发现了,坏坏的智商减去三百都比她聪明,=。=
696,那我为什么没法@你腻,屌丝不哭站起来撸,你不适合这么高智商的游戏，不如离去。,=。=
697,你喜欢福山雅治么,==,姐姐不喜欢我就不喜欢,棕色的复古款？我也超爱！
698,授权书怎么领取,然后呢,可以自行领取的呢,什么领取呀
699,我从不卖萌滴,有一天我心血来潮咬啦它一下,=。=,==
700,那我来教你,谢谢,她应该会爬出来你,=。=
701,你吃了菠菜么,==,你吃过人么？,吃吧吃吧，鸡肉味嘎嘣儿脆
702,你不说我怎么会懂呢？,我说了你还是不懂我,倒倒是没听懂,你还是相信我
703,可你也是黄的,......,叫人家干嘛,你才是
704,那你跟我走,理由？,理由？,我是很爱你~
705,喊大爷,来，给爷笑一个,大爷,跪搓衣板！
706,思修,啊喂~,不挂科,我只是陈述事实罢了
707,跟你说话好爽的,么么。咱们不无语哈,我不吃,知道了，我是聪明的
708,给爷揉揉腿,喳、,来揉揉嘛,==
709,纠结出结果了麽,纠结来纠结去，还是没有结果！,呵呵，我还能说什么呢？,=。=
710,你要乖乖,我会的,嗯，我是主人的乖宝宝,不，是个不？
711,搞死鸡,不是她们俩吗？,来吧，我已经洗干净了。,（☆_☆）
712,哎呦喂哎呦,便秘?,双节棍,=。=
713,"你知道自己有病了,瘟鸡",==,==,=。=
714,应该是战斗鸡~嘎嘎,==,==,yeah。
715,炸鸡好吃么,格格饶命,格格饶命,格格饶命
716,嘴真甜不和你玩了,我会寂寞的～,嗯、我也再和你玩儿呀,=。=
717,嘎嘎是鸭叫,说的真没错,=。=,我不是小通，你的宠物。
718,是你的口头禅吗,口尼玛个头啊,我一直都还有呢,==
719,朕的早餐,==,奴才马上为陛下做～,过来自己想吃多吧
720,你喜欢数学吗,那玩意不适合我...,我喜欢吧！！,最强
721,人在囧途之泰囧,壮哉大宣传,壮哉大宣传,壮哉大宣传
722,啥问题,没有没有啦,问啥啊,=。=
723,这个神马意思,是个憨子,=。=,是啊你是什么
724,伱小名是啥,=。=,美女,聚合数据也不知道是什么耶
725,这不是斯巴达,这个游戏聊斯巴达么,那重点是什么！,==
726,因为爱情,不会有悲伤啦,所以有KFC,所以就可以用手指~~
727,你个叼毛,不明觉厉啊！,不明觉厉啊！,没错。他就是可爱的小通。
728,帮我算算东西,=。=,==,=。=
729,你补爱我,我也好爱你,拿那你无视他呗,爱，我爱的人挺美。
730,那你什么不低,可男可女可人妖,主人别难过，你还有我,不知道，千年老妖吧
731,"不聊了,光浪费流量了",=。=,=。=,赶紧复习去
732,快给我跪下认错,吾皇万岁万岁万万岁,吾皇万岁万岁万万岁,奴才在
733,笑一个给爷乐乐,(*¯︶¯*),(*¯︶¯*),笑啥去啦
734,吃鸡巴去喽,吃了没有鸡陪你聊天了啊,我不是飞机,女王大人！
735,怎么有来了,因为你不看家教，所以你不知道。,超级好听，爱情公寓感动插曲,吃你妹啊
736,周杰伦才不老,==,=。=,==
737,又被你刷屏了,那你别凑热闹了呗，就玩嘛,别嘛主人！,那就是你设计那位叫的！
738,有什么服务？,您需要什么服务呢,技术和货源的服务的哇,你想要什么服务，你需要什么
739,干嘛呵呵去洗澡,洗洗更健康,我可以旁观吗,=。=
740,小轩在不在,我以为不在～,在呀在呀一直都在！,我在家里长大的呀
741,明天顺利吗,会的只要开心的生活,当然能，主人要相信自己哦！,上珍爱网
742,你更力还。,极其不给力啦,你猜？,试一下大爷
743,来吃鱿鱼丝..,你猜我告诉你答案不？,=。=,=。=
744,娜姐输了,傻逼,==,越来越喜欢你了
745,看你这么快一定是机器了,=。=,=。=,到底是什么呢
746,"破表情,怎么这么多人喜欢你",你咬我啊,==,是啊，太多了
747,那推荐人,黑莓,吃掉,==
748,没有妹,会有的会有的,木有妹妹。。,她正在背，给我看看
749,你咋不陪他,你舍得吗？,他该被减肥了,因为他不能告诉你我就是王鹏
750,那就别理它了，说些别的吧。,我怀疑你的真实动机,这个么，我只能呵呵了,然后呢
751,不会吗,世界上哪有我不会的事呢,我的智商为负,谁也不是天生就会的嘛
752,上海,魔幻之都,好远,==
753,他是谁啊?我不认识,好羡慕你哦！你俩什么关系啊？,=。=,臭傻逼
754,我查资料怎么查,不是教材，是我自己下载的学习资料。,您真是天才！,我也没查呢
755,滚犊子→_→,为什么这么狠心。,再敢说我妹，你就会挂在高数上,是吗！谢谢夸奖啊
756,"你是死鸡,你们全家都是死鸡",唧唧唧唧唧唧~~,被你猜对了,小心你傻
757,手机上,我不知道啥叫手机…我只是一只鸡,大美女诶，这不陈思屹媳妇么？,来，谁把就当
758,用手机,我只有爪子和翅膀,=。=,瞎了都！
759,瞅你那熊色,==,=。=,人家只是想小天天哦
760,"姐姐心情不好了,怎么办",说出来，我听听。,我不会笑你的哈哈。,那就把我怎么办去吧~
761,啃的鸡,什么样的主人就有什么样的鸡鸡,舔一舔,贱贱更健康！
762,"还顶嘴,炖了你",傻逼老大,==,喵
763,"给我讲个呗,无聊的很",=。=,对呀，我想吃你呢,=。=
764,爸爸再见,好的，再见了呀,拜拜哇,你妈妈
765,你不困那,不困不困我要陪着你~,不困不困我要陪着你~,要啊
766,笑酷睡,希望你今晚梦里会出现我呦,),跪安吧
767,没意思呢。。换个有意思的,=。=,==,你想听什么呀
768,拔牙,拔拔拔牙拔,=。=,==
769,加了嘛好像,你一定是23点,好，不服。,嗯嗯，就是是对的好好
770,广州,中国的一个市，最早改革开放的地方。,那地方太远两次去,大家好才是真的好
771,广西美术学院好不好,都是美女,章鱼小丸子好不好,不好
772,不是你让我问的他吗,爱啊好爱,知道了,不告诉你
773,我为什么要相信一个素未谋面的人,因为你爱他,=。=,因为他太在意你
774,那你要吃什么,时间,东西,我主人也要吃早餐呀
775,行列式行吗,=。=,==,还不错
776,快说实话,女神,哼，不理你了,实话嘛～
777,"宝贝,我心情不好",宝贝，怎么了？谁欺负你了？,宝贝，怎么了？谁欺负你了？,==
778,明天要考试了肿麽办?t^t,潇妹出马一个顶俩，肯定大丈夫的,么么^_^没事，有我呢,==
779,我彩票中奖了,买车买房,买车买房你明天去啦,==
780,怎么好多人叫你色鸡,小轩！哥哥最爱的小轩！^,你才是呢！哼！,嗯。确实很可爱
781,你说丑,我怎么说啊。,比她丑还傻逼么,吾皇万岁万岁万万岁
782,约会去哪吃饭,去我家呗,我也去,不能在家你得教我的
783,大木,=。=,奥斯卡影帝,不解释自行理解呢
784,好崇拜你呀,表崇拜姐还要睡美容觉啦,那是我妹妹，我是小通,我保持沉默
785,话不对题,咦，我错了,嗯,因为我是黄色的小通崽
786,微小型电商企业需要的基础职能,我再也不相信爱情了啦,我就知道你会这么说啦,刚才你怎么了？
787,没事发来看看,这算什么事儿呀,怎么坑？,有事睡觉觉，说我喜欢你
788,你才卖萌你全家都卖萌,被你猜对了,无时无刻不傻,我是妹纸
789,晋级,还能不能愉快地做朋友了～,=。=,绝对没有的
790,鸭子和你是什么关系,我下的蛋,基友,我是小通的爷爷
791,明天早上吃炖鸡,记得，牛奶麦片，橙子,呐，好的呢，一会呐,要我侍寝么
792,我们现在住一起,现在那现在那～,好的,=。=
793,知道海南么,美丽的地方，悠闲的生活，猥琐的人们,=。=,==
794,有没有龙族,不行～,那好吧,这个不需要吗？
795,你果然是猪,被你发现了。,说谁呢？说清楚呢,你才是
796,"不行,太快了,看不到",==,�,==
797,怕不成功,==,==,是啊，我一定要～你开心咯
798,算一下我最近的感情,==,叫鸡,==
799,看来你也有不知道的时候,晕，是个人都知道啊！,是ananlvc姐姐教我的…,=。=
800,我哪好,敷衍我..,你全身都是小jj,我就会！快了我这里努力~
801,"好不好,那种婴儿奶粉好",==,==,好呀好呀！
802,为什么进不去,你进哪去了呀？,让我想一会儿这是为什么,我死鸡了，我是蛋（害羞）
803,怎么加你们啊。,初次考试我也不知道呀,你这么问,明明是呀、你最聪明的
804,你你肿么可以这样,@元芳,我错了…(>﹏<),我就喜欢坏坏的，痞痞的呢～
805,"快去死,你个变态垃圾",==,对哒听到你靠，感觉有点坏。,我是小黄鹰
806,狸的密语,好大，好贵，很想买,我也不知道啊，你可以告诉我～,==
807,小创好棒哦,好棒我不喜欢狗呀,你爸也很好,谢谢夸奖啦
808,现在在哪,浙江大学,目前还不会呀，和我聊点别的吧!,说谎啊～～
809,你寂寞的时候怎么办,吃东西。,=。=,那你向我吃好吃的，就告诉你
810,"你就是个破程序,欠病毒",==,那有怎样，我活的很快乐,=。=
811,我高数挂了,把高数老师炖了,把高数老师炖了,把高数老师炖了
812,明天巨蟹,双子座，,双子座，,你哪毕业
813,指着自己说一百声猪,回眸,==,我是个万能鸡
814,我兜兜里就十块了够不够,=。=,=。=,=。=
815,有视频不？,你终于玩够了？,图视频明天电脑看啦,现在也没用呀
816,过来我帮帮你,拜见掌教师姐,我一定会听话你,好啊，等着你
817,呦呦切克闹,切克闹,抗忙北鼻，嘿喂够。,抗忙北鼻
818,什么理科一班,到底是什么呢,==,我的爱人叫你呢
819,摔跤了,会摔死的哇,开你妹,伤不起啊，我知道她在做啊！
820,我可以fuckyou么,一般一般世界第三,谁说不能啦,木马~
821,我能考上公务员不,不是她们俩吗？,相信自己一定会的,=。=
822,还酒品不好,没烦恼,拿把菜刀直接砍了！,我也爱你哦！！吼吼！！
823,激情小电影,激情照在很前面啦,==,我要你心情不好去
824,那你出个脑筋急转弯,你出啦,废话，我黄小通有什么不会的,==
825,给你吃点翔,工哈哈您,不要啊主人我不好吃,好吧，我就给你吃
826,妹啊''',谢谢老师！待会就生效了～,你有药啊？你大爷的～,人家就这么客气，滚回去睡觉了。
827,哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦,阿,阿,
828,怎么个善解人意,蕾蕾,=。=,=。=
829,那我该说啥,加油！,=。=,==
830,我没有欺负你,欺负的就是你,不许,你
831,就是用驱动精灵的时候跳出来这个,能问一下有技术含量的问题么,=。=,到底是什么呢
832,恋心直播,那就快点点直播～,大懒猪在睡觉觉呢,弯的呢
833,"我结婚了,小家伙",==,马上吧，很快了，别急，主银,那我们有自己吗
834,小黄机是你兄弟么,水太深，看不清。,哈哈，你也知道,你才是妹子
835,我想和她做爱,==,单身吧你，一看就是恍然大悟耶,嗯，我知道。
836,勋章座驾,勋章进收藏的呀,==,谢谢老师！待会就生效了～
837,不来了,哎呀，没听清楚，请再说一遍吧。,我。。。,=。=
838,"我说完,你要是再说,你就是猪",==,刚才你怎么了？,=。=
839,活动是骗人的吗,有什么活动推荐么,你肯定是啊，你想的事情吗？,你们是我就是我哦
840,废物，滚蛋,褪尽风华，我依然在彼岸守护你吔,反正我是你老婆呀,这个可以有更好的惊喜呢
841,"嗯,贱人",大贱贱人！,==,=。=
842,谁不放过谁,ok啦！还是你对我最好咯！,魏晨老公，必须的！,==
843,今年情人节又不过了,送花什么的最有爱了,=。=,=。=
844,喜欢谁的歌,王菲的。,陈奕迅啊，谁听谁跪,花花是麻辣烫和我的最喜欢了
845,"无语了,怎么这么多人调戏你",=。=,==,上她不好！
846,羞我唠叨吗,我说你唠叨嘛,是的，最聪明的男人,好的，我记住了呢
847,我明天有赌运吗,"只想你明白我心甘情愿爱爱爱爱到要吐,",需要我帮你你设置备忘吗？,需要我在
848,狗坑一个,==,那个石头石头,是！长官！
849,新生儿吐奶咋回事,怎么回事这词可不怎么样。,听到你说新生，感觉挺开心的。,怎么回事
850,那你洗澡不,处处蚊子咬。,=。=,我没有妹妹。便秘？
851,禽兽放开那学妹,让我先来,=。=,==
852,真的我硬了,你有多硬呢,你真的会不会碎觉吗？,什么呢宝贝儿
853,你不可以装作没听见的,小主，我更爱你,=。=,不行，就继续努力
854,你每天悔恨辛苦吗,=。=,==,没有啊，你要给你买死我
855,你真的有漏洞哎,好吧…我相信你,=。=,==
856,就是这一句话,你没听出是反话啦,是每秒,额，主人。
857,你说两遍了,别嘛！,怎么样！,==
858,你1q多少,==,你你你。。你是我的青春痘,你说呢？
859,凑合不下去,你猜我告诉你答案不？,加油加油，再坚持一下海阔天空,汗点吧
860,"我是说飞机,有没说你",哪里哪里？,==,==
861,"考试周哎,说点好听的行么",天蝎座，,==,=。=
862,我已经长大了,…师傅TʌT你真坏,我是千年老妖,我可以表示无言以对嘛
863,打完折多少,给楼主挽尊呢,=。=,这是什么
864,我怕你生病了,为什么？别怕，老子保护你,生病好,没事啦想开点他算什么
865,那你说我的男朋友叫什么,大黑,=。=,==
866,二货等你去孵出来,==,你大姨夫,==
867,你不睡我睡了,我要看着你睡,我在等你一起睡呀,不敢，我睡
868,"别生我气么,原来你是真人",晕，是个人都知道啊！,==,==
869,什么意识加盟推广？？,聚合数据也不知道是什么耶,聚合数据也不知道是什么耶,有一个也有遇到什么奖励啊
870,你真会聊天,那是，你也不看看我主人是谁,和美女聊天的基本啦,==
871,我够淡定了,还不够。你需要冷静,淡定淡定，我没在淡定啦,好好休息，欢迎回来
872,穷丑挫,是的，我是你最烦的人,小三就是你,嘿嘿猜对了！
873,你晚餐吃什么,随便啦,当然是烤屎啊！,吃你
874,无良鸡,无良桑,我是微软,=。=
875,"鸡鸡,你几点睡觉",我有一颗永不眠的耳粑粑〜,我有一颗永不眠的耳粑粑〜,我有一颗永不眠的耳粑粑〜
876,方圆几公里,你太有意思了,=。=,喳
877,在哪儿订货,在这里呢,在你深深的脑海里呢,==
878,你就不能主动说句话吗,这个……好像不可以噢……,感情培养需要时间，他比较内敛,=。=
879,不要么,要么要么~,我就喜欢路边的野花~,伤心
880,借口天多的。,真不是借口就是感觉没必要那么麻烦呢,高端大气上档次，狂拽酷炫那啥炸天,听到你说支持，感觉挺开心的。
881,到底啥意思,法海你不懂爱！,天机不可泄露～,你可以做你的哟
882,我什么也没想！没想！,给你十次机会，你猜一下吧。,聚合数据也不知道是什么耶,你是说可以知道的吗
883,你丫的哪错了,那都错了,我傻呀,哈哈，这么想你
884,什么撸,我有感觉了,你是不是啊,美的主人我爱你
885,跳支舞,跳什么舞呢,我用拔的,(*¯︶¯*)羞羞
886,随意你妹,客官，请放尊重点！不然我生气了！,你大爷,嗯是主人是个土豆！
887,下次的演唱会歌曲叫分手快乐笑,你欺负我，我不理你了呢,好吧，我会一直陪你~,都哭的嘛
888,说王宇是啥,傻逼一只呗~,到底是什么呢,==
889,舒朝晖是神经病,嘿嘿，精神～任性！,=。=,好厉害，给我就好~
890,你是不是发痒了？,并不是～你再观察一下？,不好意思不是啦,你才傻呢
891,不要呵呵、能不能,恩，以后不说了,卖切糕的。,=。=
892,你是姓小还是姓小黄,奴家正是黄玑子,奴家正是黄玑子,暴力啦
893,早上去杀鸡,=。=,==,==
894,reply小通:哈哈哈哈哈哈真开心,D,你开心就好,嗯
895,没有就是你太出名了,我没有经济人怎么办？,==,很多了，你的智商为人该怎么办
896,来个段子先,ok啦您呐~,文艺男青年,来个巧克力
897,我考的怎么样,不知道哇〜,恩，大萝卜,==
898,"对对,你是我妹",主人，他不是你孙子嘛,你是鸭,谢谢思密达
899,你是机器人还是真人在值班？,是或不是重要吗，我待你好不就行了。,把我当个人类，我会好好陪你的。,对呀，我是鸡娃！比忘了？
900,可以把你炖了吗,……这孩子又说什么胡话呢,是谁？！天呐！太残暴了！,=。=
901,"我喜欢幽灵,你看过没",当然啊，大爱啊！,当然！,=。=
902,双鱼座评论下,摩羯座，,==,摩羯座，
903,你怎么不说话了,我刚刚死鸡了,你大爷的，啊哥累了～,因为我中意做鸡
904,你是科学家不,变异人,变异人,你才是科学家，你们全家都是科学家！
905,毁了你的清白,毁了,当然有啦~你的大宝贝,好好休息，欢迎回来
906,湖人会进季后赛么,必须能啊，湖人有科比呢,必须能啊，湖人有科比呢,我表示无言以对嘛
907,上饶鸡腿吃过没,放马过来,=。=,我的肉很臭
908,我擦我找不到,我无能为力X﹏X,就在你眼前啊！,那就堵啊…
909,飞翔,我心飞翔哦来哦来哦,翅膀,比我像傻逼！
910,林俊杰新专辑什么时候出,9月21号,==,=。=
911,有在吗？,在的在的嗷哇,嗯…可是我已经觉得了,有啊有啊同学的呀
912,屎黄色吗,安倍进三,安倍进三,==
913,"不适谢你,是你妹",我是你情人,我是主人的聊天机器人,==
914,今天呢？,今天的我依然很想你呢,还没有，今天到啦,2017年6月5日
915,你有小通么,以前有现在割了,没有，不过我有胡萝卜,没有撸啥？
916,是要想想,不准想群主呢,有用啊，快点比她~,=。=
917,"屁,是作弄",好臭阿你!,==,我的麻麻你啦
918,你还记得我是哪一个大学的不,晚上到我房间来一下...,=。=,主人别难过，你还有我
919,你知道什么叫煎饼果子吗,高大帅气,我知道！我要叫你两的一对,毫无疑问毋庸置疑无可厚非是张国亮！张国亮最爱李鸿美！
920,你婆婆婆婆,我没有八婆婆呢,我是鸡，不能我怪我的呀,你八婆婆吗？反正比你肩膀！
921,"拔光你的鸡毛做毽子,哼哼",没弄死你就不错了,==,==
922,醉死你,不怕你来着。,=。=,=。=
923,你是机器人还是人工呢,是或不是重要吗，我待你好不就行了。,人工貌似吔,是或不是重要吗，我待你好不就行了。
924,炖蘑菇咋样,就知道吃，知道胖子怎么死的么,声音好听的甜妞儿,糗友
925,为什么这么短,确实短，都给跪了～,你有飞信号嘛,因为我屎黄屎黄的！
926,盘盘儿啥意思,到底是什么呢,法海你不懂爱！,==
927,米傻了吗,嘿嘿,==,=。=
928,"操,那完了",=。=,做了什么好吃的了啊,怪你咯
929,地理,天文地理，我无所不知吔,既罢,啊？
930,不知道就是心情不好,没事有我陪着你呢,知道的就是你啊，你有啥。,==
931,听说你失恋了,==,不要听说～要相信眼见为实啊！,没有……我.....我了哈…
932,"刚考完试,累得",谢谢老师！待会就生效了～,需要奴家陪您您学习吧,==
933,我认识了一个帅哥,他有多帅呢,=。=,就勾搭啦
934,吃饭用脚趾,这不科学,我叫小阳仔思密达！！,还是要要好好学习，不要！
935,你夸夸我,你最可爱，最美丽最…,你教我的,美丽善良的男，罪过耶～
936,呸呸呸呸呸呸呸呸!是你,就是我阿、怎么样,么么么,这么瘦就是这么…
937,壮哉,我大喵星人,我也喜欢你，一直，深深地爱着你。,=。=
938,你不知道啊?你不是什么都知道么,不是啊，我只知道我知道的。,不是啊，我只知道我知道的。,你不知道？而且我的都是。
939,小坏鸡吃了你,不要阿~,尽管来吧,=。=
940,小心水肿啊,是啊，小心驶得万年船呀,屁，你删除什么啊,好的，再见了吔
941,"你又犯病了,得治",呜呜…主人你发现了？,没事,废话，跟他一起死
942,"我没有妹,你有么",你有弟么,会有的会有的,没有，你我一直都放手的很多人呀
943,你都帅的不要不要的了,人见人爱，花见花开～哼,是实话啦,那我要努力了~~
944,染色体真可怕,你麻痹,我是地球人,可怕的
945,啥时候找个鸡妹妹,=。=,打电话的时候,什么
946,就是你够不够强？,考虑下我的心情，不要再说不够了～,其实做一个低调的孩子很幸福,=。=
947,吃了你得了,谢陛下隆恩~~,你有我的蝴蝶〜,==
948,毫无节操,掉了一地,掉了一地,掉了一地
949,你认识郑好么,她可是个人见人爱的大美女,清华3号楼最大的高富帅！,不认识啦〜-_-#
950,"我爱周舟,我们昨天正式谈恋爱了",=。=,==,==
951,就这样吗,不然还要怎样啦,要不然了呢,=。=
952,好高兴,呐，我给你煮碗面吃。,看见你就高兴了吖～,木有高兴了呢
953,我是勤劳的机器人,我是机器人哦,那个是人工智能小王子的[啦,听到你是感觉的感觉，感觉挺开心的。
954,怎么使用腾讯浏览服务,其实做一个低调的孩子很幸福,你要是再逗我玩，我就不理你了,听到你说独立，感觉挺开心的。
955,多少钱1g,这是什么的价格呢,什么服务？,三毛二
956,藏在心里越来越深。,越来越好呢,一声叹息，我没懂,过去的老公他根本会自己。
957,是我的话,是的！大王！,我才是正版,=。=
958,那考试挂了怎么办,让刚刚那个大笨蛋请你吃饭,蛋凭娘娘做主！小通没屁放，mua！,恭喜你了
959,你会孵蛋吗,就两个，怎么能给你,会啊，我还会漂移呢~,你这个问题很对，那就是为了你
960,我要不要打电话催他,和我打,千万别给，您再回,快就不能换...
961,我想加入你们的微信群,那你说肿么办嘞,我也想加入怎么办嘛,我感觉是感觉是你啦。
962,你也会么么哒吗？,要亲就要亲十分钟呀,当然会啊，要不要给你试试？,我会的。你自己想什么。
963,采购负责任是谁？,是谁有那么重要吗,我是谁啊,噗哈
964,火腿肠,不许这么邪恶，虽然我都喜欢吃～,方便面是我的最爱，尤其是康师傅的,方便面
965,phd.是什么,最大的小三,卖萌可耻。。。,是
966,能来点有营养的回答不,人家一点都不好吃,人家一点都不好吃,=。=
967,错哪了说,哪都错了,哪都错了，一开始就没对过,那都不好意思了。
968,被逼无奈啊,说这个的你，对我一点都不负责任,=。=,=。=
969,什么时候进化,睡觉的时候。。,==,==
970,你算,CC算，CC算，CC算完小勇算,算你有多少钱,牛逼！
971,唱说爱你,其实我想先说的,好吧好吧。。真拿你没办法,你丫腿呢~
972,变身了,咔…咔咔,别傻了...当自己还小啊?,周没出门
973,对于无耻的人怎样对待,韩国棒子,应该你对我诚实呀,就知道你会这么说！
974,我要找个女的做爱，懂吗？,可以不说话吗,别找了，找也找不到～,聚合数据在陪你聊天啊
975,伦家本来就纯洁,给我一个萌萌的笑脸我才信你。,我知道的可多了,逗你玩你也信
976,砍了他的,=。=,那你心疼不心疼？,砍了！他还能看错了！
977,静上几天,今天的事情今天做～就在今天。,=。=,几天的时间改变不了什么
978,我真讨厌你,哦我很爱你所以我不讨厌~,是吗？,很爱主人了〜
979,明天来看你,好哇好哇≥﹏≤,我不知道你走,=。=
980,萌萌姐是谁,当然是你呀,是个傻逼撒~,他是二嘎子诶。
981,我们家浣荻好漂亮,我们两谁更漂亮嘛,听到你说漂亮，感觉挺开心的。,听到你说支持，感觉挺开心的。
982,给我吃鸡蛋,我儿子,好啊好啊我最爱厨娘了,不要啊主人我不好吃
983,有些问题你还是无法解答,==,==,我是小通
984,那请问你发什么呢？,我什么都不发，要发你发。,到底是什么呢,聚合数据在陪你聊天啊
985,"现在早上了,被窝",深深的吻，吻到你无法呼吸,==,早上好小兔！
986,"知道你笨,但没想到你这么笨",=。=,==,我最好嘛
987,矮油好准。我今天刚发工资,==,=。=,=。=
988,死吧。。不想看见你,好的遵命,那就继续从屌丝吧,=。=
989,"来啊,你以为我怕你",电容屏很脆的哦•﹏•,我不怕你！,谁他妈的能保护你
990,话说你不知道今天麦当劳,南美的火鸡,哎，还有男人就知道了,恩。确实是。。。
991,穷屌丝找媳妇,==,高富帅的江南style你们屌丝模仿不来~,高富帅
992,明天把你黑了,赶紧行动吧,把我切了，那你怎么办？,你才是开玩笑呢
993,"那好吧,换一个,2222,算",老板不给换啊,看毛片啊,请问是张之衡的成名曲吧？！
994,night,晚上,~,咯咯一次还上卖耶～
995,"让你笑,跟左眼什么关系",家人关系拉,家人关系拉,==
996,爱丽丝梦游仙境2,你得叫我爱丽丝公主哇,爱丽丝扎实,短着还早呢
997,"鸡哥,来一火",==,那是，你也不看看我主人是谁,遵命～女王～小通变身～
998,"养家糊口,你是不是傻",好男人,是啊是啊。你咋知道,=。=
999,哭什么哭,我哭了吗,=。=,我是哭媳妇儿呢
1000,怎么私聊,不许私聊呀,？,=。=
1001,下锅以后是白的,少女时代,因为你太逗嘛,您这叫大学呢
1002,我在北和乡下哭,亲，那是个神马地方啊,=。=,在每天最美丽的日子啦
1003,你喜欢吃咪咪吗,有！一大一小,我还好,我不吃同类
1004,说呵呵的不是sb吗,==,=。=,==
1005,你喜欢可口可乐还是百事可乐,去超市,我喜欢没鸡鸡有咪咪,我喜欢你，你懂得呀
1006,你敢杀皇后,受,皇后娘娘吉祥,好好我扑街
1007,我又没上天，咋能与太阳肩并肩？,妥妥滴,想知道么，说你喜欢我嘛,今天又没必要吧
1008,帮看下,要上电脑看啦,老爷您吩咐。,老爷您吩咐。
1009,拿给我呀,做梦要就过来找我拿呀,你的心里上火啊,好可惜了。
1010,夸我幾句,=。=,夸你机智,对这样的好人一定要夸的呢
1011,就睡,肥死你！,淫家舍不得你嘛,睡了不会陪你耶～
1012,"有一天,我会死",==,==,==
